,loss,accuracy,f1_m,val_loss,val_accuracy,val_f1_m
0,0.4858095943927765,0.7713894248008728,0.7376679182052612,0.46671468019485474,0.8122431039810181,0.8672711849212646
1,0.41860583424568176,0.8146618604660034,0.7903400659561157,0.6278190016746521,0.6383646130561829,0.7225451469421387
2,0.4022436738014221,0.8227947354316711,0.7974071502685547,0.6888279914855957,0.5863867402076721,0.6710383892059326
3,0.3932816684246063,0.826321005821228,0.7995879054069519,0.5104688405990601,0.6646187901496887,0.734704315662384
4,0.38882988691329956,0.8282265067100525,0.8016394376754761,0.6193881034851074,0.6094143390655518,0.6891357898712158
5,0.383183091878891,0.8303088545799255,0.8032945394515991,0.6913894414901733,0.543513834476471,0.6295851469039917
6,0.3801526725292206,0.8327595591545105,0.8061116933822632,0.6762216687202454,0.5674254298210144,0.6510515809059143
7,0.3780015707015991,0.8330885767936707,0.8060371279716492,0.5536941289901733,0.645657479763031,0.7194729447364807
8,0.3757270574569702,0.8337073922157288,0.807070791721344,0.6136974692344666,0.6039779186248779,0.6828717589378357
9,0.3740409314632416,0.8342083692550659,0.8076380491256714,0.6227573156356812,0.6149392127990723,0.6927617192268372
10,0.3721362054347992,0.8352053165435791,0.8084763884544373,0.6520273089408875,0.5539447665214539,0.6385883092880249
