,loss,accuracy,f1_m,val_loss,val_accuracy,val_f1_m
0,0.4857838451862335,0.7733869552612305,0.7420604825019836,0.7103694677352905,0.6302435398101807,0.7184863090515137
1,0.4195583760738373,0.8146232962608337,0.79151451587677,0.5936285853385925,0.6465544104576111,0.7297296524047852
2,0.40279296040534973,0.8210474252700806,0.7958989143371582,0.6386021971702576,0.6028378009796143,0.6898183822631836
3,0.3952489495277405,0.8247408270835876,0.800032913684845,0.6192256212234497,0.6154798269271851,0.6985641121864319
4,0.39091336727142334,0.8259735703468323,0.8007552027702332,0.6080210208892822,0.6122088432312012,0.6945241689682007
5,0.38608434796333313,0.8284980654716492,0.8031134605407715,0.8031066656112671,0.4667815864086151,0.556212306022644
6,0.382106751203537,0.8299321532249451,0.8043382167816162,0.8686575889587402,0.4231976270675659,0.5106900334358215
7,0.37984707951545715,0.8310617804527283,0.8055112361907959,0.6253446340560913,0.5464350581169128,0.635899007320404
8,0.3789920508861542,0.8314006924629211,0.8060464262962341,0.730963945388794,0.48923662304878235,0.5775594711303711
9,0.3769283890724182,0.8316265940666199,0.8066682815551758,0.6271653771400452,0.6041638851165771,0.6870986819267273
10,0.37456491589546204,0.8331442475318909,0.8079888224601746,0.7307032346725464,0.5214604735374451,0.6090220808982849
11,0.3729688823223114,0.8336746692657471,0.8085474371910095,0.6533045172691345,0.5712770223617554,0.6570022106170654
