Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1559751308,1559751312,00:02:05,00:02:09,0,4
1559751313,1559751320,00:02:10,00:02:17,5,7
1559751336,1559751345,00:02:33,00:02:42,28,9
1559751365,1559751371,00:03:02,00:03:08,57,6
1559751407,1559751417,00:03:44,00:03:54,99,10
1559751434,1559751441,00:04:11,00:04:18,126,7
1559751478,1559751485,00:04:55,00:05:02,170,7
1559751491,1559751497,00:05:08,00:05:14,183,6
1559751622,1559751626,00:07:19,00:07:23,314,4
1559751653,1559751668,00:07:50,00:08:05,345,15
1559751674,1559751689,00:08:11,00:08:26,366,15
1559751696,1559751710,00:08:33,00:08:47,388,14
1559751747,1559751760,00:09:24,00:09:37,439,13
1559752192,1559752198,00:16:49,00:16:55,884,6
1559752245,1559752268,00:17:42,00:18:05,937,23
1559752269,1559752285,00:18:06,00:18:22,961,16
1559752288,1559752304,00:18:25,00:18:41,980,16
1559752349,1559752362,00:19:26,00:19:39,1041,13
1559753125,1559753131,00:32:22,00:32:28,1817,6
1559753193,1559753200,00:33:30,00:33:37,1885,7
1559753201,1559753207,00:33:38,00:33:44,1893,6
1559753221,1559753230,00:33:58,00:34:07,1913,9
1559753256,1559753264,00:34:33,00:34:41,1948,8
