Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1559660636,1559660648,00:02:12,00:02:24,0,12
1559660673,1559660684,00:02:49,00:03:00,37,11
1559660740,1559660756,00:03:56,00:04:12,104,16
1559660774,1559660791,00:04:30,00:04:47,138,17
1559660835,1559660855,00:05:31,00:05:51,199,20
1559660877,1559660895,00:06:13,00:06:31,241,18
1559661024,1559661032,00:08:40,00:08:48,388,8
1559661044,1559661065,00:09:00,00:09:21,408,21
1559661066,1559661087,00:09:22,00:09:43,430,21
1559661089,1559661107,00:09:45,00:10:03,453,18
1559661114,1559661121,00:10:10,00:10:17,478,7
1559661204,1559661213,00:11:40,00:11:49,568,9
1559661652,1559661660,00:19:08,00:19:16,1016,8
1559661714,1559661724,00:20:10,00:20:20,1078,10
1559661724,1559661737,00:20:20,00:20:33,1088,13
1559661737,1559661746,00:20:33,00:20:42,1101,9
1559661761,1559661777,00:20:57,00:21:13,1125,16
1559661799,1559661812,00:21:35,00:21:48,1163,13
1559661812,1559661820,00:21:48,00:21:56,1176,8
1559661846,1559661865,00:22:22,00:22:41,1210,19
1559661867,1559661872,00:22:43,00:22:48,1231,5
1559661959,1559661965,00:24:15,00:24:21,1323,6
