Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560266559,1560266580,00:04:20,00:04:41,0,21
1560266614,1560266634,00:05:15,00:05:35,55,20
1560266700,1560266712,00:06:41,00:06:53,141,12
1560266714,1560266724,00:06:55,00:07:05,155,10
1560266803,1560266809,00:08:24,00:08:30,244,6
1560266811,1560266831,00:08:32,00:08:52,252,20
1560267054,1560267068,00:12:35,00:12:49,495,14
1560267082,1560267086,00:13:03,00:13:07,523,4
1560267100,1560267106,00:13:21,00:13:27,541,6
1560267113,1560267128,00:13:34,00:13:49,554,15
1560267142,1560267174,00:14:03,00:14:35,583,32
1560267188,1560267217,00:14:49,00:15:18,629,29
1560267241,1560267266,00:15:42,00:16:07,682,25
1560267314,1560267345,00:16:55,00:17:26,755,31
1560267557,1560267563,00:20:58,00:21:04,998,6
1560267719,1560267725,00:23:40,00:23:46,1160,6
1560268105,1560268109,00:30:06,00:30:10,1546,4
1560268198,1560268206,00:31:39,00:31:47,1639,8
1560268227,1560268253,00:32:08,00:32:34,1668,26
1560268299,1560268321,00:33:20,00:33:42,1740,22
1560268486,1560268500,00:36:27,00:36:41,1927,14
