Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1561983739,1561983747,00:02:21,00:02:29,0,8
1561983768,1561983776,00:02:50,00:02:58,29,8
1561983784,1561983791,00:03:06,00:03:13,45,7
1561983807,1561983817,00:03:29,00:03:39,68,10
1561983831,1561983842,00:03:53,00:04:04,92,11
1561983855,1561983865,00:04:17,00:04:27,116,10
1561983870,1561983880,00:04:32,00:04:42,131,10
1561983950,1561983958,00:05:52,00:06:00,211,8
1561983964,1561983980,00:06:06,00:06:22,225,16
1561983981,1561983998,00:06:23,00:06:40,242,17
1561984015,1561984029,00:06:57,00:07:11,276,14
1561984104,1561984119,00:08:26,00:08:41,365,15
1561984432,1561984438,00:13:54,00:14:00,693,6
1561984576,1561984584,00:16:18,00:16:26,837,8
1561984586,1561984592,00:16:28,00:16:34,847,6
1561985304,1561985304,00:28:26,00:28:26,1565,0
1561985358,1561985363,00:29:20,00:29:25,1619,5
1561985370,1561985385,00:29:32,00:29:47,1631,15
1561985390,1561985405,00:29:52,00:30:07,1651,15
1561985417,1561985445,00:30:19,00:30:47,1678,28
