Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560529148,1560529166,00:05:28,00:05:46,0,18
1560529178,1560529197,00:05:58,00:06:17,30,19
1560529256,1560529289,00:07:16,00:07:49,108,33
1560529316,1560529339,00:08:16,00:08:39,168,23
1560529371,1560529390,00:09:11,00:09:30,223,19
1560529447,1560529464,00:10:27,00:10:44,299,17
1560529509,1560529525,00:11:29,00:11:45,361,16
1560529554,1560529579,00:12:14,00:12:39,406,25
1560529582,1560529607,00:12:42,00:13:07,434,25
1560529613,1560529635,00:13:13,00:13:35,465,22
1560529641,1560529665,00:13:41,00:14:05,493,24
1560529896,1560529900,00:17:56,00:18:00,748,4
1560529910,1560529922,00:18:10,00:18:22,762,12
1560530080,1560530095,00:21:00,00:21:15,932,15
1560530627,1560530636,00:30:07,00:30:16,1479,9
1560530734,1560530747,00:31:54,00:32:07,1586,13
1560530776,1560530805,00:32:36,00:33:05,1628,29
1560530825,1560530858,00:33:25,00:33:58,1677,33
1560530931,1560530950,00:35:11,00:35:30,1783,19
1560530970,1560530990,00:35:50,00:36:10,1822,20
1560530991,1560531000,00:36:11,00:36:20,1843,9
1560531004,1560531017,00:36:24,00:36:37,1856,13
