Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560254884,1560254891,00:02:54,00:03:01,0,7
1560254908,1560254916,00:03:18,00:03:26,24,8
1560254922,1560254930,00:03:32,00:03:40,38,8
1560254967,1560254975,00:04:17,00:04:25,83,8
1560255001,1560255009,00:04:51,00:04:59,117,8
1560255014,1560255022,00:05:04,00:05:12,130,8
1560255110,1560255122,00:06:40,00:06:52,226,12
1560255133,1560255138,00:07:03,00:07:08,249,5
1560255156,1560255171,00:07:26,00:07:41,272,15
1560255174,1560255188,00:07:44,00:07:58,290,14
1560255192,1560255206,00:08:02,00:08:16,308,14
1560255213,1560255216,00:08:23,00:08:26,329,3
1560255433,1560255438,00:12:03,00:12:08,549,5
1560255535,1560255553,00:13:45,00:14:03,651,18
1560255603,1560255607,00:14:53,00:14:57,719,4
1560255659,1560255663,00:15:49,00:15:53,775,4
1560255675,1560255690,00:16:05,00:16:20,791,15
1560255699,1560255714,00:16:29,00:16:44,815,15
1560255758,1560255783,00:17:28,00:17:53,874,25
1560255791,1560255810,00:18:01,00:18:20,907,19
1560255824,1560255828,00:18:34,00:18:38,940,4
1560255908,1560255913,00:19:58,00:20:03,1024,5
1560255929,1560255936,00:20:19,00:20:26,1045,7
1560256052,1560256057,00:22:22,00:22:27,1168,5
