Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1559820090,1559820101,00:02:12,00:02:23,0,11
1559820107,1559820118,00:02:29,00:02:40,17,11
1559820158,1559820169,00:03:20,00:03:31,68,11
1559820193,1559820205,00:03:55,00:04:07,103,12
1559820229,1559820240,00:04:31,00:04:42,139,11
1559820248,1559820258,00:04:50,00:05:00,158,10
1559820360,1559820365,00:06:42,00:06:47,270,5
1559820382,1559820397,00:07:04,00:07:19,292,15
1559820403,1559820417,00:07:25,00:07:39,313,14
1559820426,1559820441,00:07:48,00:08:03,336,15
1559820449,1559820463,00:08:11,00:08:25,359,14
1559820743,1559820751,00:13:05,00:13:13,653,8
1559820957,1559820963,00:16:39,00:16:45,867,6
1559821013,1559821016,00:17:35,00:17:38,923,3
1559821027,1559821039,00:17:49,00:18:01,937,12
1559821054,1559821070,00:18:16,00:18:32,964,16
1559821098,1559821110,00:19:00,00:19:12,1008,12
1559821142,1559821157,00:19:44,00:19:59,1052,15
1559821163,1559821166,00:20:05,00:20:08,1073,3
1559821198,1559821203,00:20:40,00:20:45,1108,5
1559821330,1559821336,00:22:52,00:22:58,1240,6
1559821344,1559821350,00:23:06,00:23:12,1254,6
1559821351,1559821360,00:23:13,00:23:22,1261,9
1559821360,1559821367,00:23:22,00:23:29,1270,7
1559821367,1559821389,00:23:29,00:23:51,1277,22
1559821408,1559821414,00:24:10,00:24:16,1318,6
1559821418,1559821433,00:24:20,00:24:35,1328,15
1559821466,1559821473,00:25:08,00:25:15,1376,7
