Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560526601,1560526615,00:01:13,00:01:27,0,14
1560526646,1560526660,00:01:58,00:02:12,45,14
1560526674,1560526688,00:02:26,00:02:40,73,14
1560526750,1560526765,00:03:42,00:03:57,149,15
1560526776,1560526792,00:04:08,00:04:24,175,16
1560526876,1560526892,00:05:48,00:06:04,275,16
1560526903,1560526933,00:06:15,00:06:45,302,30
1560526935,1560526964,00:06:47,00:07:16,334,29
1560526969,1560526998,00:07:21,00:07:50,368,29
1560526999,1560527027,00:07:51,00:08:19,398,28
1560527223,1560527238,00:11:35,00:11:50,622,15
1560527358,1560527367,00:13:50,00:13:59,757,9
