Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560512208,1560512210,00:04:46,00:04:48,0,2
1560512212,1560512223,00:04:50,00:05:01,4,11
1560512226,1560512227,00:05:04,00:05:05,18,1
1560512235,1560512240,00:05:13,00:05:18,27,5
1560512246,1560512257,00:05:24,00:05:35,38,11
1560512277,1560512289,00:05:55,00:06:07,69,12
1560512298,1560512311,00:06:16,00:06:29,90,13
1560512439,1560512454,00:08:37,00:08:52,231,15
1560512517,1560512522,00:09:55,00:10:00,309,5
1560512526,1560512530,00:10:04,00:10:08,318,4
1560512531,1560512572,00:10:09,00:10:50,323,41
1560512595,1560512637,00:11:13,00:11:55,387,42
1560512642,1560512648,00:12:00,00:12:06,434,6
1560512649,1560512687,00:12:07,00:12:45,441,38
1560512699,1560512732,00:12:57,00:13:30,491,33
1560513043,1560513059,00:18:41,00:18:57,835,16
1560513216,1560513231,00:21:34,00:21:49,1008,15
