Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1562068033,1562068041,00:02:59,00:03:07,0,8
1562068047,1562068054,00:03:13,00:03:20,14,7
1562068069,1562068077,00:03:35,00:03:43,36,8
1562068092,1562068102,00:03:58,00:04:08,59,10
1562068113,1562068121,00:04:19,00:04:27,80,8
1562068128,1562068136,00:04:34,00:04:42,95,8
1562068228,1562068234,00:06:14,00:06:20,195,6
1562068251,1562068264,00:06:37,00:06:50,218,13
1562068269,1562068282,00:06:55,00:07:08,236,13
1562068311,1562068321,00:07:37,00:07:47,278,10
1562068326,1562068341,00:07:52,00:08:07,293,15
1562068462,1562068475,00:10:08,00:10:21,429,13
1562068765,1562068772,00:15:11,00:15:18,732,7
1562068910,1562068914,00:17:36,00:17:40,877,4
1562070846,1562070849,00:49:52,00:49:55,2813,3
