Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1562078241,1562078256,00:03:17,00:03:32,0,15
1562078277,1562078290,00:03:53,00:04:06,36,13
1562078362,1562078377,00:05:18,00:05:33,121,15
1562078406,1562078412,00:06:02,00:06:08,165,6
1562078414,1562078424,00:06:10,00:06:20,173,10
1562078445,1562078460,00:06:41,00:06:56,204,15
1562078501,1562078514,00:07:37,00:07:50,260,13
1562078535,1562078550,00:08:11,00:08:26,294,15
1562078692,1562078700,00:10:48,00:10:56,451,8
1562078712,1562078743,00:11:08,00:11:39,471,31
1562078744,1562078768,00:11:40,00:12:04,503,24
1562078770,1562078778,00:12:06,00:12:14,529,8
1562078788,1562078811,00:12:24,00:12:47,547,23
1562078816,1562078837,00:12:52,00:13:13,575,21
1562078944,1562078950,00:15:00,00:15:06,703,6
1562079144,1562079155,00:18:20,00:18:31,903,11
1562079304,1562079314,00:21:00,00:21:10,1063,10
1562080149,1562080165,00:35:05,00:35:21,1908,16
1562080262,1562080268,00:36:58,00:37:04,2021,6
1562080283,1562080303,00:37:19,00:37:39,2042,20
1562080323,1562080347,00:37:59,00:38:23,2082,24
1562080354,1562080386,00:38:30,00:39:02,2113,32
1562080403,1562080432,00:39:19,00:39:48,2162,29
