Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560522555,1560522563,00:03:42,00:03:50,0,8
1560522567,1560522575,00:03:54,00:04:02,12,8
1560522600,1560522610,00:04:27,00:04:37,45,10
1560522628,1560522638,00:04:55,00:05:05,73,10
1560522641,1560522644,00:05:08,00:05:11,86,3
1560522645,1560522649,00:05:12,00:05:16,90,4
1560522663,1560522671,00:05:30,00:05:38,108,8
1560522683,1560522689,00:05:50,00:05:56,128,6
1560522697,1560522705,00:06:04,00:06:12,142,8
1560522828,1560522837,00:08:15,00:08:24,273,9
1560522844,1560522859,00:08:31,00:08:46,289,15
1560522860,1560522875,00:08:47,00:09:02,305,15
1560522877,1560522891,00:09:04,00:09:18,322,14
1560522975,1560522987,00:10:42,00:10:54,420,12
1560523207,1560523214,00:14:34,00:14:41,652,7
1560523350,1560523357,00:16:57,00:17:04,795,7
1560523886,1560523898,00:25:53,00:26:05,1331,12
1560523944,1560523951,00:26:51,00:26:58,1389,7
1560523960,1560523974,00:27:07,00:27:21,1405,14
1560523988,1560524005,00:27:35,00:27:52,1433,17
1560524012,1560524032,00:27:59,00:28:19,1457,20
1560524051,1560524064,00:28:38,00:28:51,1496,13
1560524073,1560524078,00:29:00,00:29:05,1518,5
