Timestamp S,Timestamp E,From,To,Seconds S,Seconds E
1560338224,1560338239,00:02:25,00:02:40,0,15
1560338252,1560338268,00:02:53,00:03:09,28,16
1560338289,1560338310,00:03:30,00:03:51,65,21
1560338336,1560338356,00:04:17,00:04:37,112,20
1560338413,1560338432,00:05:34,00:05:53,189,19
1560338437,1560338454,00:05:58,00:06:15,213,17
1560338604,1560338612,00:08:45,00:08:53,380,8
1560338620,1560338647,00:09:01,00:09:28,396,27
1560338649,1560338678,00:09:30,00:09:59,425,29
1560338679,1560338707,00:10:00,00:10:28,455,28
1560338781,1560338800,00:11:42,00:12:01,557,19
1560339215,1560339222,00:18:56,00:19:03,991,7
1560339287,1560339298,00:20:08,00:20:19,1063,11
1560339308,1560339326,00:20:29,00:20:47,1084,18
1560339343,1560339365,00:21:04,00:21:26,1119,22
1560339375,1560339410,00:21:36,00:22:11,1151,35
1560339411,1560339417,00:22:12,00:22:18,1187,6
1560339424,1560339435,00:22:25,00:22:36,1200,11
1560339437,1560339448,00:22:38,00:22:49,1213,11
1560339455,1560339465,00:22:56,00:23:06,1231,10
1560339745,1560339754,00:27:46,00:27:55,1521,9
1560339896,1560339908,00:30:17,00:30:29,1672,12
